,hotels,noun_extraction
10,서귀포 라마다 앙코르 호텔,"[('구성비', 32), ('괜찮', 32), ('친절', 27), ('가격', 27), ('깨끗', 26), ('저렴', 20), ('객실', 20), ('조식', 19), ('불편', 18), ('깔끔', 17), ('편의점', 17), ('직원', 15), ('화장실', 14), ('예약', 14), ('침대', 12), ('청소', 12), ('청결', 11), ('만족', 11), ('주차장', 11), ('경치', 10), ('시설', 10), ('서비스', 10), ('프런트', 9), ('체크인', 9), ('편하', 9), ('위치', 9), ('수건', 9), ('샤워', 9), ('주차', 8), ('냄새', 7), ('테이블', 7), ('맛있', 6), ('추천', 6), ('숙박', 6), ('에어컨', 6), ('모텔', 6), ('이상', 5), ('바닥', 5), ('주변', 5), ('방음', 5), ('아쉽', 5), ('업그레이드', 5), ('사진', 5), ('욕실', 5), ('상태', 5), ('공간', 5), ('가족', 5), ('칫솔', 5), ('매번', 4), ('응대', 4)]"
11,스위트 메이 호텔 서귀포,"[('깨끗', 49), ('친절', 39), ('구성비', 33), ('깔끔', 28), ('직원', 26), ('경치', 23), ('만족', 21), ('시설', 21), ('객실', 20), ('침대', 19), ('화장실', 16), ('괜찮', 15), ('주차장', 15), ('위치', 15), ('가격', 12), ('청결', 12), ('근처', 12), ('주차', 10), ('청소', 9), ('편의점', 9), ('방음', 9), ('불편', 9), ('강추', 9), ('주변', 8), ('예약', 8), ('욕조', 8), ('컨디션', 8), ('프런트', 8), ('바닥', 7), ('상태', 7), ('구조', 7), ('소리', 7), ('조식', 7), ('침구', 7), ('일단', 7), ('욕실', 6), ('저렴', 6), ('에어컨', 6), ('공간', 6), ('추천', 6), ('지하', 6), ('서비스', 6), ('따로', 5), ('푹신', 5), ('돼지', 5), ('조용', 5), ('맛있', 5), ('편안', 5), ('출장', 5), ('헬스', 4)]"
12,신신호텔 제주 천지연,"[('친절', 43), ('직원', 40), ('주차', 38), ('깨끗', 36), ('깔끔', 30), ('구성비', 29), ('가격', 26), ('주차장', 26), ('만족', 23), ('시장', 20), ('객실', 20), ('시설', 17), ('괜찮', 16), ('불편', 15), ('저렴', 15), ('조식', 13), ('예약', 12), ('위치', 12), ('경치', 10), ('타워', 10), ('냄새', 9), ('에어컨', 9), ('프런트', 8), ('주변', 8), ('청소', 7), ('관리', 7), ('침대', 7), ('공간', 7), ('창문', 7), ('서비스', 7), ('연방', 7), ('맛있', 7), ('수건', 6), ('상태', 6), ('화장실', 6), ('사람', 6), ('청결', 6), ('교통', 6), ('편하', 6), ('감사', 6), ('지하', 6), ('편리', 6), ('건물', 6), ('근처', 5), ('소리', 5), ('아쉽', 5), ('특히', 5), ('모기', 5), ('중앙', 5), ('가깝', 5)]"
13,신화관 제주 신화월드 호텔앤리조트,"[('친절', 83), ('직원', 66), ('수영장', 47), ('시설', 45), ('깨끗', 37), ('워터', 36), ('파크', 33), ('조식', 25), ('만족', 23), ('청결', 22), ('깔끔', 21), ('객실', 21), ('사람', 19), ('서비스', 19), ('거리', 18), ('리조트', 18), ('구성비', 18), ('아이', 16), ('맛있', 16), ('방음', 16), ('체크인', 15), ('편의', 15), ('예약', 15), ('불편', 14), ('컨디션', 13), ('괜찮', 12), ('실내', 12), ('가격', 11), ('업그레이드', 11), ('침대', 10), ('가족', 10), ('식당', 10), ('재밌', 9), ('위치', 9), ('아쉽', 9), ('소리', 9), ('주차장', 8), ('아쉬웠', 8), ('음식', 8), ('주차', 8), ('아기', 8), ('사진', 8), ('의사', 8), ('청소', 8), ('스카', 7), ('이풀', 7), ('경치', 7), ('마음', 7), ('내부', 7), ('일단', 7)]"
14,아트스테이 서귀포 하버,"[('깨끗', 240), ('깔끔', 214), ('경치', 204), ('시장', 203), ('친절', 186), ('위치', 184), ('구성비', 156), ('괜찮', 143), ('주차', 139), ('객실', 135), ('만족', 134), ('조식', 130), ('시설', 124), ('직원', 121), ('가격', 109), ('주차장', 108), ('불편', 99), ('거리', 93), ('가깝', 85), ('근처', 72), ('저렴', 72), ('맛있', 71), ('청결', 71), ('바다', 69), ('화장실', 65), ('침대', 64), ('주변', 63), ('예약', 57), ('편의점', 56), ('청소', 50), ('컨디션', 47), ('접근성', 46), ('프런트', 44), ('서비스', 44), ('편하', 42), ('소리', 42), ('공간', 41), ('수건', 38), ('냄새', 37), ('에어컨', 37), ('칫솔', 35), ('상태', 31), ('추천', 31), ('사진', 31), ('치약', 30), ('바닥', 27), ('카펫', 25), ('테이블', 24), ('부족', 24), ('아쉽', 24)]"
15,에벤에셀 제주 함덕호텔,"[('경치', 114), ('위치', 57), ('해수욕장', 37), ('바다', 33), ('친절', 32), ('깨끗', 28), ('괜찮', 27), ('침대', 27), ('불편', 25), ('깔끔', 24), ('직원', 23), ('구성비', 23), ('해변', 21), ('객실', 21), ('예약', 18), ('만족', 18), ('청결', 17), ('청소', 17), ('시설', 16), ('주변', 15), ('아트', 15), ('냄새', 14), ('편의점', 14), ('카펫', 14), ('주차', 14), ('근처', 14), ('스테이', 14), ('체크인', 14), ('서비스', 14), ('칫솔', 13), ('주차장', 12), ('바닥', 12), ('바닷가', 12), ('소리', 12), ('화장실', 11), ('가격', 11), ('건물', 11), ('치약', 10), ('에어컨', 10), ('슬리퍼', 10), ('딱딱', 10), ('프런트', 10), ('참고', 9), ('컨디션', 8), ('소음', 8), ('환상', 8), ('접근성', 8), ('편리', 8), ('방음', 8), ('창문', 8)]"
16,윈스토리 호텔 서귀포,"[('깨끗', 64), ('깔끔', 58), ('시장', 49), ('친절', 45), ('구성비', 40), ('직원', 35), ('만족', 32), ('시설', 31), ('세탁기', 26), ('괜찮', 26), ('편의점', 24), ('위치', 22), ('가격', 22), ('객실', 20), ('주변', 19), ('주차', 19), ('조식', 19), ('침대', 19), ('청결', 18), ('주차장', 17), ('가깝', 16), ('불편', 16), ('예약', 14), ('근처', 13), ('공간', 13), ('조용', 13), ('저렴', 13), ('프런트', 12), ('편하', 12), ('냉장고', 11), ('냄새', 11), ('경치', 11), ('전자레인지', 11), ('추천', 11), ('푹신', 10), ('소리', 9), ('거리', 9), ('편리', 9), ('컨디션', 8), ('부족', 8), ('편안', 8), ('무료', 8), ('방음', 8), ('식당', 8), ('침구', 7), ('수건', 7), ('건물', 7), ('감사', 7), ('화장실', 7), ('청소', 7)]"
17,유탑유블레스호텔 제주함덕,"[('경치', 102), ('친절', 55), ('해수욕장', 52), ('위치', 52), ('바다', 48), ('객실', 46), ('깨끗', 40), ('직원', 37), ('깔끔', 35), ('괜찮', 34), ('시설', 33), ('만족', 33), ('조식', 32), ('주변', 27), ('화장실', 22), ('예약', 21), ('주차장', 21), ('청결', 18), ('서비스', 17), ('해변', 17), ('맛있', 14), ('불편', 14), ('방음', 14), ('맥주', 13), ('창문', 13), ('침대', 13), ('구성비', 13), ('쿠폰', 12), ('건물', 12), ('주차', 12), ('카페', 11), ('사람', 11), ('프런트', 11), ('근처', 10), ('먼지', 10), ('시티', 10), ('무료', 10), ('청소', 10), ('소리', 10), ('편하', 9), ('편의점', 9), ('내부', 9), ('식당', 9), ('드링크', 9), ('바닷가', 8), ('가깝', 8), ('체크인', 8), ('가격', 7), ('접근성', 7), ('추천', 7)]"
18,제주 노블피아 호텔,"[('시장', 51), ('깨끗', 37), ('주차', 32), ('친절', 31), ('구성비', 29), ('경치', 29), ('객실', 26), ('직원', 25), ('위치', 25), ('만족', 24), ('주차장', 23), ('깔끔', 23), ('화장실', 20), ('가격', 19), ('시설', 19), ('괜찮', 19), ('편의점', 18), ('가깝', 18), ('접근성', 15), ('청소', 15), ('상태', 15), ('프런트', 14), ('욕조', 14), ('편하', 12), ('저렴', 10), ('거리', 10), ('근처', 10), ('냄새', 10), ('소리', 10), ('업그레이드', 9), ('불편', 9), ('공간', 9), ('청결', 8), ('욕실', 8), ('방음', 8), ('침대', 8), ('바다', 7), ('주변', 7), ('감사', 7), ('예약', 7), ('사진', 7), ('편했', 7), ('피아', 6), ('위층', 6), ('의자', 6), ('단점', 6), ('참고', 6), ('자리', 5), ('공영', 5), ('입실', 5)]"
19,제주 부영호텔&리조트,"[('수영장', 61), ('친절', 58), ('깨끗', 42), ('직원', 38), ('경치', 37), ('만족', 34), ('시설', 28), ('객실', 24), ('구성비', 24), ('리조트', 21), ('깔끔', 20), ('위치', 19), ('서비스', 15), ('청결', 11), ('편하', 10), ('괜찮', 10), ('침대', 10), ('가족', 10), ('조식', 10), ('실내', 9), ('무료', 9), ('성급', 9), ('바다', 8), ('크기', 8), ('내부', 7), ('화장실', 7), ('청소', 7), ('주변', 7), ('수영', 6), ('단지', 6), ('가격', 6), ('테라스', 6), ('미니바', 6), ('산책', 6), ('감사', 6), ('편안', 6), ('야외', 6), ('상태', 6), ('아이', 6), ('사진', 5), ('마음', 5), ('특히', 5), ('아기', 5), ('의사', 5), ('아쉬웠', 5), ('전부', 5), ('부대시설', 5), ('컨디션', 5), ('조용', 5), ('날씨', 5)]"
