,hotels,noun_extraction
30,호텔 골든데이지 서귀포 오션,"[('주차', 71), ('시장', 55), ('위치', 52), ('냄새', 35), ('친절', 33), ('깔끔', 33), ('구성비', 32), ('깨끗', 30), ('김밥', 29), ('시설', 25), ('객실', 24), ('주변', 24), ('괜찮', 23), ('주차장', 19), ('가깝', 19), ('직원', 19), ('화장실', 18), ('만족', 18), ('불편', 16), ('청결', 16), ('근처', 16), ('서비스', 15), ('먼지', 15), ('접근성', 13), ('편하', 12), ('바닥', 12), ('경치', 12), ('맛있', 12), ('루프', 12), ('거리', 10), ('예약', 10), ('타워', 10), ('담배', 10), ('가격', 10), ('에어컨', 9), ('편의점', 9), ('프런트', 9), ('수압', 9), ('침대', 9), ('출차', 8), ('저렴', 8), ('관리', 7), ('카펫', 7), ('청소', 7), ('컨디션', 7), ('편안', 7), ('시원', 6), ('체크아웃', 6), ('감사', 6), ('아쉽', 6)]"
31,호텔 리젠트마린,"[('깨끗', 122), ('경치', 107), ('수영장', 96), ('깔끔', 83), ('친절', 76), ('위치', 73), ('공항', 64), ('시설', 60), ('만족', 53), ('객실', 52), ('시장', 52), ('직원', 47), ('근처', 44), ('가깝', 44), ('바다', 39), ('청결', 37), ('주변', 37), ('침대', 37), ('주차', 37), ('괜찮', 35), ('구성비', 32), ('주차장', 25), ('예약', 25), ('접근성', 24), ('화장실', 24), ('가격', 23), ('편하', 23), ('불편', 23), ('침구', 20), ('방음', 20), ('냄새', 19), ('컨디션', 18), ('프런트', 17), ('소리', 15), ('조식', 15), ('청소', 15), ('상태', 15), ('서비스', 14), ('편의', 14), ('아쉽', 13), ('편의점', 13), ('교통', 13), ('쾌적', 12), ('추천', 12), ('사람', 12), ('산책', 12), ('소음', 12), ('이불', 12), ('거리', 11), ('편안', 11)]"
32,호텔 시리우스 제주,"[('수영장', 154), ('공항', 149), ('깨끗', 125), ('친절', 87), ('깔끔', 79), ('시설', 67), ('객실', 66), ('위치', 58), ('직원', 50), ('가깝', 47), ('근처', 45), ('만족', 44), ('괜찮', 42), ('구성비', 42), ('조식', 38), ('방음', 36), ('청결', 31), ('서비스', 30), ('소리', 24), ('경치', 23), ('주차장', 22), ('편의점', 22), ('편하', 22), ('편리', 20), ('청소', 20), ('컨디션', 18), ('실내', 18), ('맛있', 18), ('수영모', 17), ('침대', 16), ('냄새', 16), ('아쉽', 15), ('영장', 15), ('주변', 14), ('가격', 14), ('감사', 14), ('침구', 13), ('조용', 13), ('소음', 12), ('주차', 11), ('가까운', 11), ('예약', 11), ('추천', 11), ('불편', 11), ('쾌적', 11), ('상태', 10), ('옆방', 10), ('아이', 10), ('화장실', 10), ('편안', 10)]"
33,호텔 앨리스 앤 트렁크,"[('친절', 103), ('깨끗', 58), ('직원', 57), ('깔끔', 46), ('침대', 44), ('위치', 41), ('조식', 39), ('공항', 38), ('만족', 34), ('맛있', 34), ('객실', 30), ('시설', 26), ('청결', 24), ('냄새', 22), ('괜찮', 20), ('루프', 19), ('발레', 19), ('푹신', 17), ('주차', 16), ('가깝', 16), ('시내', 16), ('예약', 16), ('구성비', 16), ('접근성', 13), ('불편', 13), ('프런트', 12), ('마트', 12), ('편하', 12), ('서비스', 12), ('침구', 11), ('근처', 11), ('가격', 10), ('사진', 9), ('건물', 9), ('청소', 9), ('화장실', 9), ('저렴', 8), ('완벽', 8), ('후기', 8), ('편했', 8), ('컨디션', 8), ('아쉽', 8), ('주변', 8), ('분위기', 8), ('욕조', 8), ('주차장', 7), ('숙박', 7), ('마음', 7), ('추천', 7), ('상태', 7)]"
34,호텔 에어시티 제주,"[('공항', 57), ('깨끗', 56), ('깔끔', 42), ('친절', 36), ('주차', 35), ('객실', 33), ('구성비', 30), ('시설', 30), ('위치', 28), ('편의점', 26), ('침대', 26), ('직원', 25), ('불편', 25), ('가깝', 21), ('청결', 21), ('만족', 19), ('타워', 19), ('근처', 19), ('괜찮', 17), ('에어컨', 17), ('예약', 16), ('가격', 13), ('주차장', 13), ('시내', 13), ('접근성', 13), ('감사', 12), ('상태', 11), ('교통', 11), ('편리', 10), ('화장실', 10), ('주변', 10), ('조식', 10), ('바닥', 10), ('샴푸', 9), ('편하', 9), ('수건', 9), ('칫솔', 9), ('서비스', 8), ('추천', 8), ('숙박', 8), ('버스', 7), ('편히', 7), ('소리', 7), ('편안', 7), ('샤워', 7), ('제공', 7), ('청소', 7), ('편했', 7), ('냄새', 7), ('시티', 7)]"
35,호텔 컬리넌 제주,"[('친절', 62), ('공항', 59), ('화장실', 35), ('깨끗', 34), ('위치', 34), ('깔끔', 34), ('시설', 33), ('직원', 32), ('괜찮', 27), ('불편', 24), ('욕조', 24), ('객실', 22), ('구성비', 22), ('근처', 20), ('만족', 19), ('냄새', 18), ('모텔', 17), ('조명', 16), ('청소', 16), ('가깝', 16), ('예약', 14), ('사진', 14), ('주변', 13), ('감사', 12), ('편하', 12), ('전화', 11), ('에어컨', 11), ('욕실', 11), ('소리', 11), ('시내', 10), ('교통', 10), ('접근성', 10), ('세면대', 10), ('어둡', 10), ('침대', 10), ('가격', 9), ('방음', 9), ('머리카락', 9), ('프런트', 9), ('편리', 9), ('소음', 8), ('창문', 8), ('주차', 8), ('테라스', 8), ('서비스', 7), ('환기', 7), ('카드', 7), ('수건', 7), ('온도', 7), ('청결', 7)]"
36,호텔 케니 서귀포,"[('시장', 71), ('주차', 41), ('친절', 39), ('위치', 38), ('깨끗', 38), ('구성비', 37), ('깔끔', 31), ('직원', 30), ('객실', 29), ('시설', 28), ('가격', 25), ('혼자', 24), ('불편', 23), ('괜찮', 22), ('침대', 20), ('공간', 19), ('경치', 16), ('근처', 16), ('저렴', 15), ('가깝', 15), ('주차장', 15), ('화장실', 14), ('에어컨', 12), ('거리', 11), ('편하', 11), ('청결', 11), ('접근성', 11), ('모기', 11), ('편의점', 10), ('체크인', 10), ('추천', 10), ('조식', 10), ('주변', 9), ('서비스', 9), ('협소', 8), ('냄새', 7), ('엘리베이터', 7), ('의사', 7), ('치약', 7), ('만족', 7), ('냉장고', 6), ('작동', 6), ('단점', 6), ('맛있', 6), ('후기', 6), ('싱글', 6), ('크기', 6), ('문제', 6), ('도보', 6), ('수건', 6)]"
37,호텔샬롬 제주,"[('깨끗', 83), ('주차장', 82), ('깔끔', 72), ('공항', 52), ('친절', 51), ('위치', 46), ('시설', 42), ('객실', 41), ('구성비', 41), ('직원', 35), ('만족', 35), ('경치', 32), ('가깝', 32), ('괜찮', 30), ('시내', 27), ('접근성', 26), ('근처', 25), ('청소', 24), ('냄새', 23), ('버스', 22), ('시청', 22), ('가격', 21), ('지하', 21), ('화장실', 21), ('청결', 20), ('불편', 19), ('교통', 17), ('정류장', 17), ('바닥', 17), ('주차', 16), ('예약', 16), ('소리', 15), ('시장', 15), ('입구', 15), ('침대', 14), ('운전', 13), ('편리', 13), ('주변', 13), ('편하', 13), ('저렴', 12), ('욕조', 11), ('방음', 11), ('조심', 11), ('협소', 11), ('편의점', 10), ('편의', 10), ('욕실', 10), ('컨디션', 10), ('프런트', 10), ('숙박', 10)]"
38,호텔위드 제주,"[('친절', 119), ('깨끗', 103), ('깔끔', 80), ('공항', 71), ('직원', 65), ('위치', 59), ('구성비', 54), ('화장실', 51), ('객실', 47), ('만족', 46), ('시설', 45), ('주차', 41), ('샤워', 37), ('괜찮', 35), ('샤워실', 34), ('수압', 32), ('편의점', 30), ('근처', 28), ('가깝', 28), ('불편', 28), ('청결', 26), ('주변', 25), ('냄새', 25), ('컨디션', 24), ('프런트', 23), ('예약', 23), ('침대', 23), ('가격', 22), ('편하', 20), ('서비스', 20), ('저렴', 19), ('청소', 18), ('발레', 18), ('경치', 17), ('방음', 16), ('에어컨', 16), ('업그레이드', 16), ('주차장', 15), ('감사', 15), ('접근성', 15), ('부스', 15), ('시내', 15), ('소리', 13), ('교통', 13), ('쾌적', 13), ('버스', 13), ('편의', 12), ('공간', 12), ('욕실', 12), ('분리', 12)]"
39,휘슬락 호텔,"[('친절', 89), ('깨끗', 76), ('경치', 75), ('공항', 72), ('수영장', 69), ('위치', 64), ('직원', 61), ('시설', 58), ('객실', 58), ('바다', 54), ('깔끔', 49), ('만족', 46), ('시장', 43), ('근처', 42), ('불편', 35), ('가깝', 34), ('주변', 34), ('침대', 33), ('청결', 30), ('구성비', 29), ('주차', 29), ('화장실', 25), ('전망', 25), ('테라스', 24), ('청소', 24), ('괜찮', 24), ('거리', 24), ('가격', 23), ('주차장', 22), ('접근성', 22), ('아쉽', 22), ('예약', 21), ('항구', 21), ('편하', 18), ('소리', 17), ('사람', 16), ('냄새', 16), ('에어컨', 15), ('수건', 15), ('수압', 15), ('공원', 15), ('사진', 15), ('상태', 14), ('컨디션', 13), ('서비스', 13), ('저렴', 13), ('욕실', 12), ('돼지', 12), ('체크인', 12), ('편의', 12)]"
40,히든 클리프 호텔 앤 네이쳐,"[('수영장', 85), ('친절', 56), ('직원', 33), ('파티', 31), ('깨끗', 29), ('시설', 25), ('경치', 25), ('서비스', 23), ('깔끔', 18), ('객실', 16), ('조식', 15), ('컨디션', 13), ('만족', 11), ('예약', 10), ('히든', 9), ('업그레이드', 9), ('맛있', 9), ('괜찮', 9), ('사람', 8), ('가격', 8), ('따뜻', 8), ('상태', 8), ('재밌', 8), ('감사', 6), ('온도', 6), ('청결', 6), ('화장실', 6), ('위치', 6), ('편의점', 6), ('영장', 6), ('특히', 6), ('부족', 6), ('아쉽', 6), ('룸서비스', 6), ('완벽', 5), ('성급', 5), ('체크인', 5), ('청소', 5), ('쾌적', 4), ('칫솔', 4), ('샤워', 4), ('방음', 4), ('힐링', 4), ('날씨', 4), ('아쉬웠', 4), ('수영', 4), ('필요', 4), ('침구', 4), ('푹신', 4), ('예쁘', 4)]"
