,word,frequency
0,깨끗,38
1,깔끔,32
2,친절,28
3,공항,25
4,침대,25
5,주차,23
6,직원,21
7,위치,19
8,시설,18
9,주차장,18
10,괜찮,16
11,객실,16
12,가격,14
13,불편,13
14,편의점,12
15,근처,11
16,만족,11
17,먼지,11
18,경치,10
19,가깝,10
20,컨디션,10
21,저렴,10
22,청소,10
23,시내,9
24,청결,9
25,냄새,9
26,방음,9
27,버스,9
28,시청,8
29,조식,8
30,화장실,7
31,편했,7
32,예약,7
33,편리,7
34,칫솔,7
35,주변,6
36,협소,6
37,편하,5
38,편의,5
39,완벽,5
40,공간,5
41,서비스,5
42,프런트,5
43,나쁘,5
44,시장,5
45,치약,5
46,정류장,5
47,전화,4
48,새벽,4
49,가성비,16
