,word,frequency
0,친절,46
1,깨끗,43
2,깔끔,36
3,공항,28
4,위치,27
5,직원,27
6,객실,23
7,화장실,22
8,샤워,20
9,만족,19
10,시설,19
11,주차,18
12,가깝,16
13,괜찮,16
14,근처,13
15,불편,13
16,편의점,13
17,샤워실,13
18,냄새,13
19,가격,10
20,서비스,10
21,업그레이드,9
22,청결,9
23,부스,9
24,프런트,9
25,수압,9
26,침대,8
27,에어컨,8
28,소리,8
29,컨디션,8
30,경치,7
31,쾌적,7
32,주변,7
33,예약,7
34,시내,7
35,태풍,7
36,편하,6
37,저렴,6
38,청소,6
39,방음,6
40,공간,6
41,분리,6
42,발레,6
43,주차장,5
44,물론,5
45,숙박,5
46,치약,5
47,칫솔,5
48,감사,5
49,가성비,22
