,word,frequency
0,수영장,84
1,친절,56
2,직원,33
3,파티,31
4,깨끗,28
5,시설,25
6,경치,25
7,서비스,23
8,깔끔,18
9,객실,16
10,조식,15
11,컨디션,13
12,만족,11
13,예약,10
14,히든,9
15,업그레이드,9
16,괜찮,9
17,맛있,8
18,사람,8
19,가격,8
20,따뜻,8
21,상태,8
22,재밌,8
23,감사,6
24,청결,6
25,화장실,6
26,위치,6
27,편의점,6
28,영장,6
29,특히,6
30,부족,6
31,아쉽,6
32,룸서비스,6
33,완벽,5
34,성급,5
35,온도,5
36,체크인,5
37,청소,5
38,쾌적,4
39,칫솔,4
40,샤워,4
41,방음,4
42,힐링,4
43,날씨,4
44,아쉬웠,4
45,수영,4
46,필요,4
47,침구,4
48,푹신,4
49,예쁘,4
