,word,frequency
0,위치,44
1,공항,39
2,친절,28
3,깨끗,26
4,객실,24
5,시설,24
6,스타,22
7,깔끔,22
8,직원,19
9,괜찮,19
10,가깝,17
11,편의점,14
12,불편,14
13,근처,13
14,시내,13
15,조식,12
16,예약,11
17,업그레이드,11
18,화장실,11
19,청소,10
20,주차장,10
21,교통,9
22,접근성,9
23,편리,9
24,샤워,8
25,주차,8
26,세면대,7
27,만족,7
28,건물,7
29,편하,7
30,침대,7
31,칫솔,7
32,소리,7
33,방음,7
34,추천,6
35,주변,6
36,정류장,6
37,소음,6
38,버스,6
39,노후,6
40,치약,6
41,나쁘,6
42,침구,6
43,바닥,6
44,청결,6
45,서비스,6
46,숙박,5
47,경치,5
48,쾌적,5
49,가성비,18
