,word,frequency
0,깨끗,38
1,경치,28
2,위치,25
3,깔끔,25
4,괜찮,25
5,시설,24
6,친절,23
7,수영장,23
8,객실,22
9,직원,20
10,편의점,20
11,루프,17
12,방음,17
13,저렴,16
14,조식,16
15,가격,15
16,예약,12
17,주차,12
18,화장실,12
19,주차장,11
20,서비스,11
21,청결,11
22,업그레이드,11
23,만족,11
24,프런트,10
25,근처,10
26,불편,10
27,소리,9
28,욕실,9
29,침대,9
30,청소,8
31,편하,8
32,냄새,7
33,숙박,7
34,주변,7
35,맥주,7
36,티브이,6
37,컨디션,6
38,맛있,6
39,협소,6
40,상태,6
41,안내,6
42,편리,6
43,맛나,6
44,응대,6
45,편했,6
46,추천,6
47,부족,6
48,칫솔,6
49,가성비,15
