,word,frequency
0,공항,71
1,비행기,67
2,소리,60
3,친절,53
4,깔끔,45
5,깨끗,38
6,바다,30
7,근처,29
8,직원,29
9,시설,22
10,괜찮,20
11,침대,17
12,예약,16
13,화장실,15
14,만족,14
15,편의점,14
16,가깝,14
17,객실,14
18,산책,13
19,경치,13
20,위치,12
21,소음,12
22,단점,11
23,가격,11
24,주변,10
25,새벽,10
26,추천,10
27,프런트,9
28,방음,9
29,접근성,9
30,예민,8
31,민감,8
32,스타,7
33,샤워,7
34,시끄럽,7
35,편하,7
36,신축,7
37,불편,6
38,서비스,6
39,감사,6
40,주차,6
41,도착,5
42,일찍,5
43,거리,5
44,창문,5
45,청결,5
46,세면대,5
47,침구류,5
48,수건,5
49,가성비,20
