,word,frequency
0,경치,72
1,바다,38
2,친절,31
3,깨끗,26
4,시설,25
5,수영장,23
6,편의점,23
7,만족,20
8,가족,20
9,리조트,19
10,깔끔,19
11,객실,18
12,소리,18
13,직원,17
14,괜찮,16
15,위치,14
16,수건,13
17,불편,11
18,방음,11
19,화장실,11
20,예약,11
21,사람,10
22,가격,9
23,근처,9
24,편하,8
25,거리,8
26,소음,8
27,추천,8
28,아이,8
29,편의,7
30,마음,7
31,전망,7
32,아쉽,7
33,침대,7
34,상태,6
35,청결,6
36,일출,6
37,친구,6
38,치약,6
39,에어컨,6
40,사진,6
41,냄새,6
42,저렴,6
43,층간,6
44,주차장,5
45,칫솔,5
46,주변,5
47,이불,5
48,가깝,5
49,가성비,23
